"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"OpenConsole","14","232","2203482570752","13037568","2846720","13552","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.21.2911.0_x64__8wekyb3d8bbwe\OpenConsole.exe","""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.21.2911.0_x64__8wekyb3d8bbwe\OpenConsole.exe"" -Embedding",,"Microsoft Corporation","0.0625","1.21.2410.17001","1.21.241017001","OpenConsole.exe","Windows Terminal","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3572","8",,"False","2025/04/18 0:22:21",,"33644",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","13552","13552","2846720","2846720","235720","235720","2846720","2846720","13037568","13037568","2203482570752","164347904","True","Normal","2846720","2846720","15","14",,"System.Diagnostics.ProcessThreadCollection","232","2203482570752","164347904","False",,,,"13037568","13037568",,"System.Diagnostics.ProcessModule (OpenConsole.exe)","00:00:00.0625000","00:00:00.0625000","00:00:00","OpenConsole","0","","True",,
"PhoneExperienceHost","15","1084","2481408651264","24387584","59535360","114608",,,,,,,,,,"Process",,,"8",,,,,"29072",".",,,,"114608","114608","59535360","59535360","1162656","1162656","59940864","59940864","182743040","182743040","2481426296832","-1064800256",,,"59535360","59535360",,"15",,"System.Diagnostics.ProcessThreadCollection","1084","2481408651264","-1082445824","False",,,,"24387584","24387584",,,,,,"PhoneExperienceHost","0","","True",,
"PhoneExperienceHost","14","1491","2481431916544","32215040","63991808","123872","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.24101.61.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe","""C:\Program Files\WindowsApps\Microsoft.YourPhone_1.24101.61.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe"" -ComServer:Background -Embedding",,"Microsoft Corporation","5.8125","1.24101.61.0","1.24101.61+737c1a4a9541c4252598a3d6082fc982a3c4f6cd","Microsoft Phone Link","Microsoft Phone Link","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3116","8",,"False","2025/04/13 11:37:11",,"33144",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","123872","123872","63991808","63991808","1198376","1198376","66543616","66543616","193957888","193957888","2481452351488","-1038745600","True","Normal","63991808","63991808","15","14",,"System.Diagnostics.ProcessThreadCollection","1491","2481431916544","-1059180544","False",,,,"32215040","32215040",,"System.Diagnostics.ProcessModule (PhoneExperienceHost.exe)","00:00:01.7343750","00:00:05.8125000","00:00:04.0781250","PhoneExperienceHost","0","","True",,
"pwsh","14","695","2481026830336","101507072","33832960","74552","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" ","System.Diagnostics.Process (explorer)","Microsoft Corporation","2.625","7.4.6.500","7.4.6 SHA: d71d4f122db89c1bcfb5571b9445d600803c332b+d71d4f122db89c1bcfb5571b9445d600803c332b","pwsh","PowerShell","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3972","8",,"False","2025/04/18 0:22:21",,"13784",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","74552","74552","33832960","33832960","482992","482992","33886208","33886208","101507072","101507072","2481029468160","-1461628928","True","Normal","33832960","33832960","15","14",,"System.Diagnostics.ProcessThreadCollection","695","2481026830336","-1464266752","False",,,,"101507072","101507072",,"System.Diagnostics.ProcessModule (pwsh.exe)","00:00:00.6875000","00:00:02.6250000","00:00:01.9375000","pwsh","0","","True",,
"pwsh","14","606","2481017159680","78000128","34451456","88704","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe""","System.Diagnostics.Process (WindowsTerminal)","Microsoft Corporation","3.125","7.4.6.500","7.4.6 SHA: d71d4f122db89c1bcfb5571b9445d600803c332b+d71d4f122db89c1bcfb5571b9445d600803c332b","pwsh","PowerShell","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3816","8",,"False","2025/04/17 23:27:12",,"21968",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","88704","88704","34451456","34451456","497784","497784","46358528","46358528","102346752","102346752","2481030733824","-1460363264","True","Normal","34451456","34451456","15","14",,"System.Diagnostics.ProcessThreadCollection","606","2481017159680","-1473937408","False",,,,"78000128","78000128",,"System.Diagnostics.ProcessModule (pwsh.exe)","00:00:00.5468750","00:00:03.1250000","00:00:02.5781250","pwsh","0","","True",,
"pwsh","14","668","2481014308864","38912000","26763264","78368","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -WorkingDirectory ~","System.Diagnostics.Process (explorer)","Microsoft Corporation","3.8125","7.4.6.500","7.4.6 SHA: d71d4f122db89c1bcfb5571b9445d600803c332b+d71d4f122db89c1bcfb5571b9445d600803c332b","pwsh","PowerShell","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3868","8",,"False","2025/04/17 23:24:59",,"22376",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","78368","78368","26763264","26763264","492440","492440","34717696","34717696","102871040","102871040","2481031643136","-1459453952","True","Normal","26763264","26763264","15","14",,"System.Diagnostics.ProcessThreadCollection","668","2481014308864","-1476788224","False",,,,"38912000","38912000",,"System.Diagnostics.ProcessModule (pwsh.exe)","00:00:00.7968750","00:00:03.8125000","00:00:03.0156250","pwsh","0","","True",,
"pwsh","14","612","2481012002816","43380736","30396416","84216","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -noexit -command ""try { . \""c:\Users\makon\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1\"" } catch {}""","System.Diagnostics.Process (Code)","Microsoft Corporation","2.5625","7.4.6.500","7.4.6 SHA: d71d4f122db89c1bcfb5571b9445d600803c332b+d71d4f122db89c1bcfb5571b9445d600803c332b","pwsh","PowerShell","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3368","8",,"False","2025/04/17 23:37:11",,"27196",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","84216","84216","30396416","30396416","479520","479520","39403520","39403520","107655168","107655168","2481025564672","-1465532416","True","Normal","30396416","30396416","15","14",,"System.Diagnostics.ProcessThreadCollection","612","2481012002816","-1479094272","False",,,,"43380736","43380736",,"System.Diagnostics.ProcessModule (pwsh.exe)","00:00:00.3593750","00:00:02.5625000","00:00:02.2031250","pwsh","0","","True",,
"pwsh","14","875","2481119387648","166096896","78200832","160632","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -NoProfile -ExecutionPolicy Bypass -Command ""Import-Module 'c:\Users\makon\.vscode\extensions\ms-vscode.powershell-2025.0.0\modules\PowerShellEditorServices\PowerShellEditorServices.psd1'; Start-EditorServices -HostName 'Visual Studio Code Host' -HostProfileId 'Microsoft.VSCode' -HostVersion '2025.0.0' -BundledModulesPath 'c:\Users\makon\.vscode\extensions\ms-vscode.powershell-2025.0.0\modules' -EnableConsoleRepl -StartupBanner \""PowerShell Extension v2025.0.0
Copyright (c) Microsoft Corporation.

https://aka.ms/vscode-powershell
Type 'help' to get help.
\"" -LogLevel 'Warning' -LogPath 'c:\Users\makon\AppData\Roaming\Code\logs\20250417T233658\window1\exthost\ms-vscode.powershell' -SessionDetailsPath 'c:\Users\makon\AppData\Roaming\Code\User\globalStorage\ms-vscode.powershell\sessions\PSES-VSCode-15940-345357.json' -FeatureFlags @() ""","System.Diagnostics.Process (Code)","Microsoft Corporation","8","7.4.6.500","7.4.6 SHA: d71d4f122db89c1bcfb5571b9445d600803c332b+d71d4f122db89c1bcfb5571b9445d600803c332b","pwsh","PowerShell","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4128","8",,"False","2025/04/17 23:37:36",,"31704",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","160632","160632","78200832","78200832","612664","612664","83611648","83611648","183726080","183726080","2481126924288","-1364172800","True","Normal","78200832","78200832","15","14",,"System.Diagnostics.ProcessThreadCollection","875","2481119387648","-1371709440","False",,,,"166096896","166096896",,"System.Diagnostics.ProcessModule (pwsh.exe)","00:00:01.2500000","00:00:08","00:00:06.7500000","pwsh","0","","True",,
"pwsh","14","612","2481010364416","31891456","29720576","83944","C:\Program Files\PowerShell\7\pwsh.exe","""C:\Program Files\PowerShell\7\pwsh.exe"" -noexit -command ""try { . \""c:\Users\makon\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1\"" } catch {}""","System.Diagnostics.Process (Code)","Microsoft Corporation","3.0625","7.4.6.500","7.4.6 SHA: d71d4f122db89c1bcfb5571b9445d600803c332b+d71d4f122db89c1bcfb5571b9445d600803c332b","pwsh","PowerShell","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3512","8",,"False","2025/04/17 23:37:15",,"33476",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","83944","83944","29720576","29720576","479392","479392","38567936","38567936","106037248","106037248","2481025970176","-1465126912","True","Normal","29720576","29720576","15","14",,"System.Diagnostics.ProcessThreadCollection","612","2481010364416","-1480732672","False",,,,"31891456","31891456",,"System.Diagnostics.ProcessModule (pwsh.exe)","00:00:00.4062500","00:00:03.0625000","00:00:02.6562500","pwsh","0","","True",,
"python","14","147","4404756480","7720960","11141120","11264","c:\Users\makon\AppData\Local\Programs\Python\Python312\python.exe","c:\Users\makon\AppData\Local\Programs\Python\Python312\python.exe c:\Users\makon\.vscode\extensions\ms-toolsai.jupyter-2025.3.0-win32-x64\pythonFiles\vscode_datascience_helpers\kernel_interrupt_daemon.py --ppid 8176","System.Diagnostics.Process (Code)","Python Software Foundation","0.140625","3.12.3","3.12.3","Python","Python","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4164","8",,"False","2025/04/17 23:37:18",,"10176",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","11264","11264","11141120","11141120","140136","140136","11198464","11198464","17784832","17784832","4408819712","113852416","True","Normal","11141120","11141120","15","14",,"System.Diagnostics.ProcessThreadCollection","147","4404756480","109789184","False",,,,"7720960","7720960",,"System.Diagnostics.ProcessModule (python.exe)","00:00:00.0625000","00:00:00.1406250","00:00:00.0781250","python","0","","True",,
